DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,Lat,Lng,Date
33.7,2018,11,28,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/28/2018
33.7,2018,11,28,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/28/2018
34.2,2018,12,10,24,0,Los Angeles-North Main Street,34.06659,-118.22688,12/10/2018
30.3,2018,12,16,24,0,Los Angeles-North Main Street,34.06659,-118.22688,12/16/2018
44.3,2018,12,22,24,0,Los Angeles-North Main Street,34.06659,-118.22688,12/22/2018
37.3,2018,12,28,24,0,Los Angeles-North Main Street,34.06659,-118.22688,12/28/2018
37.3,2018,12,28,24,0,Los Angeles-North Main Street,34.06659,-118.22688,12/28/2018
51.9,2018,1,2,24,0,Long Beach (Hudson),33.8025,-118.22,1/2/2018
38.8,2018,1,8,24,0,Long Beach (Hudson),33.8025,-118.22,1/8/2018
50.3,2018,1,14,24,0,Long Beach (Hudson),33.8025,-118.22,1/14/2018
23.2,2018,1,20,24,0,Long Beach (Hudson),33.8025,-118.22,1/20/2018
41.1,2018,1,26,24,0,Long Beach (Hudson),33.8025,-118.22,1/26/2018
61.4,2018,2,1,24,0,Long Beach (Hudson),33.8025,-118.22,2/1/2018
49.2,2018,2,7,24,0,Long Beach (Hudson),33.8025,-118.22,2/7/2018
39.6,2018,2,13,24,0,Long Beach (Hudson),33.8025,-118.22,2/13/2018
24.1,2018,2,19,24,0,Long Beach (Hudson),33.8025,-118.22,2/19/2018
