DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,LAt,Lng,Date
34.8,2018,1,8,23,0,Millbrook School,35.856111,-78.574167,1/8/2018
32.8,2018,1,9,23,0,Millbrook School,35.856111,-78.574167,1/9/2018
7.8,2018,1,10,23,0,Millbrook School,35.856111,-78.574167,1/10/2018
11.5,2018,1,11,19,0,Millbrook School,35.856111,-78.574167,1/11/2018
6.2,2018,1,12,23,0,Millbrook School,35.856111,-78.574167,1/12/2018
3.4,2018,1,13,23,0,Millbrook School,35.856111,-78.574167,1/13/2018
27.6,2018,1,17,23,0,Millbrook School,35.856111,-78.574167,1/17/2018
18.1,2018,1,18,23,0,Millbrook School,35.856111,-78.574167,1/18/2018
38.2,2018,1,19,23,0,Millbrook School,35.856111,-78.574167,1/19/2018
35.1,2018,1,20,23,0,Millbrook School,35.856111,-78.574167,1/20/2018
29.3,2018,1,21,23,0,Millbrook School,35.856111,-78.574167,1/21/2018
25.9,2018,1,22,23,0,Millbrook School,35.856111,-78.574167,1/22/2018
8.8,2018,1,23,23,0,Millbrook School,35.856111,-78.574167,1/23/2018
12.3,2018,1,24,23,0,Millbrook School,35.856111,-78.574167,1/24/2018
30.2,2018,1,25,19,0,Millbrook School,35.856111,-78.574167,1/25/2018
29,2018,1,26,23,0,Millbrook School,35.856111,-78.574167,1/26/2018
22.8,2018,1,27,23,0,Millbrook School,35.856111,-78.574167,1/27/2018
8.6,2018,1,28,23,0,Millbrook School,35.856111,-78.574167,1/28/2018
4.3,2018,1,29,23,0,Millbrook School,35.856111,-78.574167,1/29/2018
11.6,2018,1,30,23,0,Millbrook School,35.856111,-78.574167,1/30/2018
24.5,2018,1,31,23,0,Millbrook School,35.856111,-78.574167,1/31/2018
9.4,2018,2,7,23,0,Millbrook School,35.856111,-78.574167,2/7/2018
23.9,2018,2,8,23,0,Millbrook School,35.856111,-78.574167,2/8/2018
27.5,2018,2,9,23,0,Millbrook School,35.856111,-78.574167,2/9/2018
13.9,2018,2,10,23,0,Millbrook School,35.856111,-78.574167,2/10/2018
2.9,2018,2,11,23,0,Millbrook School,35.856111,-78.574167,2/11/2018
8.7,2018,2,12,23,0,Millbrook School,35.856111,-78.574167,2/12/2018
3.9,2018,2,13,23,0,Millbrook School,35.856111,-78.574167,2/13/2018
13.2,2018,2,14,23,0,Millbrook School,35.856111,-78.574167,2/14/2018
13.9,2018,2,15,23,0,Millbrook School,35.856111,-78.574167,2/15/2018
4.4,2018,2,16,23,0,Millbrook School,35.856111,-78.574167,2/16/2018
4,2018,2,17,23,0,Millbrook School,35.856111,-78.574167,2/17/2018
5.7,2018,2,18,23,0,Millbrook School,35.856111,-78.574167,2/18/2018
17,2018,2,19,23,0,Millbrook School,35.856111,-78.574167,2/19/2018
20.9,2018,2,20,19,0,Millbrook School,35.856111,-78.574167,2/20/2018
19.2,2018,2,21,23,0,Millbrook School,35.856111,-78.574167,2/21/2018
17.4,2018,2,22,23,0,Millbrook School,35.856111,-78.574167,2/22/2018
12.7,2018,2,23,23,0,Millbrook School,35.856111,-78.574167,2/23/2018
10.9,2018,2,24,23,0,Millbrook School,35.856111,-78.574167,2/24/2018
8.2,2018,2,25,23,0,Millbrook School,35.856111,-78.574167,2/25/2018
13.2,2018,2,26,23,0,Millbrook School,35.856111,-78.574167,2/26/2018
31.6,2018,2,27,23,0,Millbrook School,35.856111,-78.574167,2/27/2018
23.6,2018,2,28,23,0,Millbrook School,35.856111,-78.574167,2/28/2018
16.9,2018,3,1,23,0,Millbrook School,35.856111,-78.574167,3/1/2018
2.3,2018,3,2,23,0,Millbrook School,35.856111,-78.574167,3/2/2018
3,2018,3,3,23,0,Millbrook School,35.856111,-78.574167,3/3/2018
27.2,2018,3,4,23,0,Millbrook School,35.856111,-78.574167,3/4/2018
