DMax NO2,NO2-WEIGHT,Year,Month,Day,Flag,Site Name,Lat,Lng,Date
23.2,24,2018,5,14,0,QUEENS COLLEGE 2,40.73614,-73.82153,5/14/2018
21.1,24,2018,5,20,0,QUEENS COLLEGE 2,40.73614,-73.82153,5/20/2018
36.6,24,2018,5,26,0,QUEENS COLLEGE 2,40.73614,-73.82153,5/26/2018
35,24,2018,6,2,0,QUEENS COLLEGE 2,40.73614,-73.82153,6/2/2018
19.7,24,2018,6,7,0,QUEENS COLLEGE 2,40.73614,-73.82153,6/7/2018
27.7,24,2018,6,13,0,QUEENS COLLEGE 2,40.73614,-73.82153,6/13/2018
14.2,19,2018,6,25,0,QUEENS COLLEGE 2,40.73614,-73.82153,6/25/2018
61.1,24,2018,7,1,0,QUEENS COLLEGE 2,40.73614,-73.82153,7/1/2018
17.1,24,2018,7,7,0,QUEENS COLLEGE 2,40.73614,-73.82153,7/7/2018
26.4,24,2018,7,13,0,QUEENS COLLEGE 2,40.73614,-73.82153,7/13/2018
20.6,24,2018,7,19,0,QUEENS COLLEGE 2,40.73614,-73.82153,7/19/2018
8.9,24,2018,7,25,0,QUEENS COLLEGE 2,40.73614,-73.82153,7/25/2018
37.4,24,2018,8,6,0,QUEENS COLLEGE 2,40.73614,-73.82153,8/6/2018
11.8,24,2018,8,12,0,QUEENS COLLEGE 2,40.73614,-73.82153,8/12/2018
18.9,24,2018,8,18,0,QUEENS COLLEGE 2,40.73614,-73.82153,8/18/2018
17.9,24,2018,9,5,0,QUEENS COLLEGE 2,40.73614,-73.82153,9/5/2018
26.1,24,2018,9,11,0,QUEENS COLLEGE 2,40.73614,-73.82153,9/11/2018
23.6,24,2018,9,17,0,QUEENS COLLEGE 2,40.73614,-73.82153,9/17/2018
9.4,24,2018,9,23,0,QUEENS COLLEGE 2,40.73614,-73.82153,9/23/2018
25.2,24,2018,9,29,0,QUEENS COLLEGE 2,40.73614,-73.82153,9/29/2018
13.5,23,2018,10,5,0,QUEENS COLLEGE 2,40.73614,-73.82153,10/5/2018
29.2,24,2018,10,11,0,QUEENS COLLEGE 2,40.73614,-73.82153,10/11/2018
28.5,24,2018,10,17,0,QUEENS COLLEGE 2,40.73614,-73.82153,10/17/2018
32.6,20,2018,10,23,0,QUEENS COLLEGE 2,40.73614,-73.82153,10/23/2018
21.6,24,2018,10,29,0,QUEENS COLLEGE 2,40.73614,-73.82153,10/29/2018
19.6,18,2018,11,10,0,QUEENS COLLEGE 2,40.73614,-73.82153,11/10/2018
