Ozone AQI,DMax Ozone,OZONE-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
90,0.067,17,2018,4,14,Los Angeles-North Main Street,34.06659,-118.22688,4/14/2018
42,0.045,17,2018,4,20,Los Angeles-North Main Street,34.06659,-118.22688,4/20/2018
42,0.045,17,2018,4,26,Los Angeles-North Main Street,34.06659,-118.22688,4/26/2018
34,0.037,17,2018,5,2,Los Angeles-North Main Street,34.06659,-118.22688,5/2/2018
51,0.055,17,2018,5,8,Los Angeles-North Main Street,34.06659,-118.22688,5/8/2018
38,0.041,17,2018,5,14,Los Angeles-North Main Street,34.06659,-118.22688,5/14/2018
38,0.041,17,2018,5,14,Los Angeles-North Main Street,34.06659,-118.22688,5/14/2018
37,0.04,17,2018,5,26,Los Angeles-North Main Street,34.06659,-118.22688,5/26/2018
39,0.042,17,2018,6,1,Los Angeles-North Main Street,34.06659,-118.22688,6/1/2018
39,0.042,17,2018,6,1,Los Angeles-North Main Street,34.06659,-118.22688,6/1/2018
50,0.054,17,2018,6,7,Los Angeles-North Main Street,34.06659,-118.22688,6/7/2018
50,0.054,17,2018,6,7,Los Angeles-North Main Street,34.06659,-118.22688,6/7/2018
45,0.049,17,2018,6,13,Los Angeles-North Main Street,34.06659,-118.22688,6/13/2018
45,0.049,17,2018,6,13,Los Angeles-North Main Street,34.06659,-118.22688,6/13/2018
40,0.043,17,2018,6,19,Los Angeles-North Main Street,34.06659,-118.22688,6/19/2018
40,0.043,17,2018,6,19,Los Angeles-North Main Street,34.06659,-118.22688,6/19/2018
41,0.044,17,2018,6,25,Los Angeles-North Main Street,34.06659,-118.22688,6/25/2018
41,0.044,17,2018,6,25,Los Angeles-North Main Street,34.06659,-118.22688,6/25/2018
42,0.045,17,2018,7,1,Los Angeles-North Main Street,34.06659,-118.22688,7/1/2018
42,0.045,17,2018,7,1,Los Angeles-North Main Street,34.06659,-118.22688,7/1/2018
101,0.071,17,2018,7,7,Los Angeles-North Main Street,34.06659,-118.22688,7/7/2018
101,0.071,17,2018,7,7,Los Angeles-North Main Street,34.06659,-118.22688,7/7/2018
37,0.04,17,2018,7,13,Los Angeles-North Main Street,34.06659,-118.22688,7/13/2018
37,0.04,17,2018,7,13,Los Angeles-North Main Street,34.06659,-118.22688,7/13/2018
36,0.039,17,2018,7,19,Los Angeles-North Main Street,34.06659,-118.22688,7/19/2018
36,0.039,17,2018,7,19,Los Angeles-North Main Street,34.06659,-118.22688,7/19/2018
54,0.056,17,2018,7,25,Los Angeles-North Main Street,34.06659,-118.22688,7/25/2018
54,0.056,17,2018,7,25,Los Angeles-North Main Street,34.06659,-118.22688,7/25/2018
51,0.055,17,2018,8,24,Los Angeles-North Main Street,34.06659,-118.22688,8/24/2018
51,0.055,17,2018,8,24,Los Angeles-North Main Street,34.06659,-118.22688,8/24/2018
43,0.046,17,2018,8,30,Los Angeles-North Main Street,34.06659,-118.22688,8/30/2018
43,0.046,17,2018,8,30,Los Angeles-North Main Street,34.06659,-118.22688,8/30/2018
38,0.041,17,2018,9,5,Los Angeles-North Main Street,34.06659,-118.22688,9/5/2018
38,0.041,17,2018,9,5,Los Angeles-North Main Street,34.06659,-118.22688,9/5/2018
42,0.045,17,2018,9,11,Los Angeles-North Main Street,34.06659,-118.22688,9/11/2018
42,0.045,17,2018,9,17,Los Angeles-North Main Street,34.06659,-118.22688,9/17/2018
42,0.045,17,2018,9,17,Los Angeles-North Main Street,34.06659,-118.22688,9/17/2018
48,0.052,17,2018,9,23,Los Angeles-North Main Street,34.06659,-118.22688,9/23/2018
48,0.052,17,2018,9,23,Los Angeles-North Main Street,34.06659,-118.22688,9/23/2018
42,0.045,17,2018,9,29,Los Angeles-North Main Street,34.06659,-118.22688,9/29/2018
42,0.045,17,2018,9,29,Los Angeles-North Main Street,34.06659,-118.22688,9/29/2018
31,0.033,17,2018,10,5,Los Angeles-North Main Street,34.06659,-118.22688,10/5/2018
31,0.033,17,2018,10,5,Los Angeles-North Main Street,34.06659,-118.22688,10/5/2018
36,0.039,17,2018,10,11,Los Angeles-North Main Street,34.06659,-118.22688,10/11/2018
36,0.039,17,2018,10,11,Los Angeles-North Main Street,34.06659,-118.22688,10/11/2018
38,0.041,17,2018,10,17,Los Angeles-North Main Street,34.06659,-118.22688,10/17/2018
38,0.041,17,2018,10,17,Los Angeles-North Main Street,34.06659,-118.22688,10/17/2018
43,0.046,17,2018,10,29,Los Angeles-North Main Street,34.06659,-118.22688,10/29/2018
58,0.057,17,2018,11,4,Los Angeles-North Main Street,34.06659,-118.22688,11/4/2018
58,0.057,17,2018,11,4,Los Angeles-North Main Street,34.06659,-118.22688,11/4/2018
40,0.043,17,2018,11,10,Los Angeles-North Main Street,34.06659,-118.22688,11/10/2018
40,0.043,17,2018,11,10,Los Angeles-North Main Street,34.06659,-118.22688,11/10/2018
30,0.032,17,2018,11,22,Los Angeles-North Main Street,34.06659,-118.22688,11/22/2018
26,0.028,17,2018,11,28,Los Angeles-North Main Street,34.06659,-118.22688,11/28/2018
26,0.028,17,2018,11,28,Los Angeles-North Main Street,34.06659,-118.22688,11/28/2018
7,0.008,17,2018,12,10,Los Angeles-North Main Street,34.06659,-118.22688,12/10/2018
21,0.023,17,2018,12,16,Los Angeles-North Main Street,34.06659,-118.22688,12/16/2018
13,0.014,17,2018,12,22,Los Angeles-North Main Street,34.06659,-118.22688,12/22/2018
32,0.035,17,2018,12,28,Los Angeles-North Main Street,34.06659,-118.22688,12/28/2018
32,0.035,17,2018,12,28,Los Angeles-North Main Street,34.06659,-118.22688,12/28/2018
19,0.021,17,2018,1,2,Long Beach (Hudson),33.8025,-118.22,1/2/2018
19,0.021,17,2018,1,8,Long Beach (Hudson),33.8025,-118.22,1/8/2018
31,0.033,17,2018,1,14,Long Beach (Hudson),33.8025,-118.22,1/14/2018
33,0.036,17,2018,1,20,Long Beach (Hudson),33.8025,-118.22,1/20/2018
28,0.03,17,2018,1,26,Long Beach (Hudson),33.8025,-118.22,1/26/2018
8,0.009,17,2018,2,1,Long Beach (Hudson),33.8025,-118.22,2/1/2018
25,0.027,17,2018,2,7,Long Beach (Hudson),33.8025,-118.22,2/7/2018
36,0.039,17,2018,2,13,Long Beach (Hudson),33.8025,-118.22,2/13/2018
