D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
14,31,14,44,1,2,1,15.4,23,0.047,17,1.1,23,0.2,24,2016,9,29,Cheyenne NCore,41.18222711,-104.7783342,9/29/2016
13,10,13,34,0,2,1,14.1,24,0.037,17,0.1,24,0.2,24,2016,9,30,Cheyenne NCore,41.18222711,-104.7783342,9/30/2016
13,9,13,46,0,2,1,14.1,23,0.05,17,0.4,23,0.2,24,2016,10,1,Cheyenne NCore,41.18222711,-104.7783342,10/1/2016
9,8,9,44,0,2,1,10.3,23,0.047,17,0.5,23,0.2,24,2016,10,2,Cheyenne NCore,41.18222711,-104.7783342,10/2/2016
17,21,17,49,1,2,1,18.6,23,0.053,17,1.5,20,0.2,24,2016,10,3,Cheyenne NCore,41.18222711,-104.7783342,10/3/2016
34,8,34,40,0,2,1,36.5,23,0.043,17,0.1,23,0.2,24,2016,10,7,Cheyenne NCore,41.18222711,-104.7783342,10/7/2016
19,7,19,44,0,2,1,20.9,24,0.047,17,0.9,24,0.2,24,2016,10,8,Cheyenne NCore,41.18222711,-104.7783342,10/8/2016
18,11,18,44,0,2,1,19.5,22,0.048,17,0.9,22,0.2,24,2016,10,9,Cheyenne NCore,41.18222711,-104.7783342,10/9/2016
5,9,5,36,0,2,1,5,24,0.039,17,0.1,24,0.2,24,2016,10,10,Cheyenne NCore,41.18222711,-104.7783342,10/10/2016
4,8,4,43,0,1,1,4.2,23,0.046,17,0.1,23,0.1,24,2016,10,11,Cheyenne NCore,41.18222711,-104.7783342,10/11/2016
